ManagedEntityTypeSystemName	cnt
Microsoft.Windows.InternetInformationServices.10.0.ApplicationPool	3286
Microsoft.Windows.DNSServer.2016.Zone	2679
Microsoft.Windows.Server.10.0.LogicalDisk	2147
Microsoft.Windows.ComputerNetworkAdapter	1941
Microsoft.Windows.Server.10.0.NetworkAdapter	1659
Microsoft.Windows.DHCPServer.Library.IPv4Scope	1606
Microsoft.Windows.Computer	1335
Microsoft.Windows.OperatingSystem	1267
Microsoft.SystemCenter2012.ConfigurationManager.Client	1263
Microsoft.SystemCenter.HealthService	1252
Microsoft.SystemCenter.HealthServiceWatcher	1252
Microsoft.SystemCenter.ManagementService	1252
Microsoft.SystemCenter.Installed.OMProducts	1216
SCOM.Management.Class	1203
Microsoft.Windows.FileServices.6.3.Seed	1162
LW.Microsoft.3rdParty.Calcomp.CHS	1162
Microsoft.SystemCenter.License.Standard	1160
Microsoft.Windows.FileServices.10.0.Seed	1145
LW.Microsoft.Windows.MSDTC.2016	1143
LW.Microsoft.Windows.Defender.Role.2016	1125
Microsoft.Windows.DNSServer.2016.ZoneScope	1105
Microsoft.Windows.InternetInformationServices.10.0.WebSite	777
Microsoft.SystemCenter.Apm.ApmAgent	633
Microsoft.SystemCenter.Apm.CsmAgent	633
Microsoft.Windows.Server.2008.AD.EssentialService	612
Microsoft.SystemCenter.Apm.NTServiceEndpoint	559
Microsoft.SystemCenter.UserActionManager	509
Microsoft.Windows.DNSServer.2016.Forwarder.IPAddress.Conditional.Forward	502
Microsoft.Windows.InternetInformationServices.10.0.AspNetWebServiceEndpoint	501
Microsoft.Windows.InternetInformationServices.10.0.AspNetWebApplicationEndpoint	494
Microsoft.Windows.FileServices.6.3.FileServer	494
Microsoft.Windows.FileServices.Service.SMB.6.3	471
Microsoft.Windows.FileServices.Service.SMB.10.0	461
Microsoft.Windows.FileServices.10.0.FileServer	461
LW.Microsoft.Windows.FileServices.Service.iSCSITarget.6.3	459
Microsoft.Windows.InternetInformationServices.6.2.ApplicationPool	440
Microsoft.SystemCenter.License.Enterprise	417
Microsoft.Exchange.15.ServiceComponentsHealthSet	412
Microsoft.Windows.InternetInformationServices.10.0.ServerRole	408
Microsoft.Windows.InternetInformationServices.10.0.WebServer	404
LW.Microsoft.Windows.InternetInformationServices.6.4.ServerRole	397
ServiceStateProbePage_6b9039c80a5e4573bbb51e6b42c22a6f	280
Microsoft.Windows.DNSServer.2016.Forwarder.Conditional.Forward	251
LW.Microsoft.3rdParty.Comtrade.NutanixVM	247
Microsoft.Windows.Server.6.2.LogicalDisk	245
Microsoft.Windows.DNSServer.2016.Forwarder.IPAddress.Unconditional	235
Microsoft.Windows.Server.6.2.NetworkAdapter	212
ServiceStateProbePage_c069eef64aaf46378dcbe6e60a824928	202
OpsLogix.IMP.Ping.Target	187
Microsoft.Windows.Cluster.HostedGroup	169
