ManagedEntityTypeSystemName	DisplayName
Microsoft.SystemCenter.ADAssignmentResourcePoolWatchersGroup	AD Assignment Resource Pool
Microsoft.Windows.Server.10.0.AD.DomainControllerComputerGroup	AD Domain Controller Group (Microsoft Windows Server 2016)
Microsoft.Windows.Server.2000.AD.DomainControllerComputerGroup	AD Domain Controller Group (Windows 2000 Server)
Microsoft.Windows.Server.2003.AD.DomainControllerComputerGroup	AD Domain Controller Group (Windows 2003 Server)
Microsoft.Windows.Server.2008.AD.DomainControllerComputerGroup	AD Domain Controller Group (Windows Server 2008 and above)
Microsoft.Windows.Server.AD.ClientComputerGroup	AD Monitoring Client Computer Group
Microsoft.Windows.Server.AD.DomainMemberComputerGroup	AD Monitoring Domain Member Computer Group
System.NetworkManagement.AdvancedNetworkAdapterGroup	Advanced Network Adapters Group
Microsoft.Windows.Cluster.HostedGroup	AG1 (vn-den-sqlc3wsfc ) (vm-den-sqlc3n1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (vn-den-sqlc3wsfc ) (VM-ZEP-SQLC3N2)
Microsoft.Windows.Cluster.Group	AG1 (vn-den-sqlc3wsfc)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-DEN-WSFC4 ) (VM-DEN-SQLC4N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-DEN-WSFC4 ) (VM-DEN-SQLC4N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-DEN-WSFC4)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-DV-WSFC2 ) (VM-DV-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-DV-WSFC2 ) (VM-DV-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-DV-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SBT-WSFC3 ) (VM-SBT-SQLC3N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SBT-WSFC3 ) (VM-SBT-SQLC3N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-SBT-WSFC3)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SNO-WSFC2 ) (VM-SNO-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SNO-WSFC2 ) (VM-SNO-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-SNO-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SOL-WSFC2 ) (vm-sol-sqlc2n1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SOL-WSFC2 ) (VM-SOL-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-SOL-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-STR-WSFC2 ) (VM-STR-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-STR-WSFC2 ) (VM-STR-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-STR-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SUG-WSFC1 ) (VM-SUG-SQLC1N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SUG-WSFC1 ) (VM-SUG-SQLC1N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-SUG-WSFC1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-SVAM-WSFC2 ) (VM-SVAM-SQLC2N1)
Microsoft.Windows.Cluster.Group	AG1 (VN-SVAM-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-TRM-WSFC3 ) (VM-TRM-SQLC3N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-TRM-WSFC3 ) (VM-TRM-SQLC3N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-TRM-WSFC3)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-WP-WSFC1 ) (VM-WP-SQLC1N1)
Microsoft.Windows.Cluster.HostedGroup	AG1 (VN-WP-WSFC1 ) (VM-WP-SQLC1N2)
Microsoft.Windows.Cluster.Group	AG1 (VN-WP-WSFC1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-DEN-WSFC4 ) (VM-DEN-SQLC4N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-DEN-WSFC4 ) (VM-DEN-SQLC4N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-DEN-WSFC4)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-DV-WSFC2 ) (VM-DV-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-DV-WSFC2 ) (VM-DV-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-DV-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SBT-WSFC3 ) (VM-SBT-SQLC3N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SBT-WSFC3 ) (VM-SBT-SQLC3N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-SBT-WSFC3)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SNO-WSFC2 ) (VM-SNO-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SNO-WSFC2 ) (VM-SNO-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-SNO-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SOL-WSFC2 ) (vm-sol-sqlc2n1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SOL-WSFC2 ) (VM-SOL-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-SOL-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-STR-WSFC2 ) (VM-STR-SQLC2N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-STR-WSFC2 ) (VM-STR-SQLC2N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-STR-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SUG-WSFC1 ) (VM-SUG-SQLC1N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SUG-WSFC1 ) (VM-SUG-SQLC1N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-SUG-WSFC1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-SVAM-WSFC2 ) (VM-SVAM-SQLC2N1)
Microsoft.Windows.Cluster.Group	AG2 (VN-SVAM-WSFC2)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-TRM-WSFC3 ) (VM-TRM-SQLC3N1)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-TRM-WSFC3 ) (VM-TRM-SQLC3N2)
Microsoft.Windows.Cluster.Group	AG2 (VN-TRM-WSFC3)
Microsoft.Windows.Cluster.HostedGroup	AG2 (VN-WP-WSFC1 ) (VM-WP-SQLC1N1)
